RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Andrew Bynum,CLE/IND,26,19.8,.456,9.4,11.0,21.9,11.3,20.4,15.8,15.25,35.8,1.2
Jose Calderon,DAL,81,30.5,.596,30.0,8.2,16.4,1.4,7.6,4.5,15.25,156.4,5.2
Luol Deng,CHI/CLE,63,35.1,.517,14.4,8.9,24.0,5.0,13.5,9.2,15.22,155.8,5.2
Marreese Speights,GS,79,12.4,.507,5.3,11.0,23.0,11.4,20.6,16.1,15.22,54.5,1.8
Marco Belinelli,SA,80,25.2,.605,17.4,9.3,17.9,1.0,11.2,6.3,15.09,138.2,4.6
Robert Covington,HOU,7,4.9,.571,0.0,6.7,17.2,6.9,9.3,8.2,15.06,2.3,0.1
Jordan Farmar,LAL,41,22.2,.533,29.1,13.9,23.1,2.3,9.8,6.1,15.05,55.2,1.8
Trevor Booker,WSH,72,21.6,.563,11.5,10.4,13.4,10.9,17.5,14.1,15.02,81.6,2.7
Brandon Bass,BOS,82,27.6,.549,8.5,10.0,17.0,7.8,15.9,11.8,15.01,118.8,4.0
Tristan Thompson,CLE,82,31.6,.528,6.6,9.9,16.2,11.4,21.5,16.3,14.96,133.8,4.5
Eric Gordon,NO,64,32.1,.540,16.5,10.7,22.2,1.7,7.7,4.7,14.92,135.8,4.5
Marcus Morris,PHX,82,22.0,.552,9.7,10.5,18.4,5.2,14.6,9.9,14.89,91.0,3.0
Jodie Meeks,LAL,77,33.2,.601,11.0,8.8,17.4,1.3,6.9,4.1,14.75,162.2,5.4
Cory Joseph,SA,68,13.8,.558,24.6,9.3,16.5,4.0,8.7,6.4,14.72,52.0,1.7
Lance Stephenson,IND,78,35.3,.564,23.5,13.8,19.0,4.1,18.1,11.4,14.72,173.3,5.8
Patrick Patterson,SAC/TOR,65,23.6,.533,11.8,9.8,14.4,8.8,17.1,12.9,14.67,72.6,2.4
Devin Harris,DAL,40,20.5,.517,32.9,10.9,20.8,1.1,10.8,6.0,14.66,44.6,1.5
Alexis Ajinca,NO,56,17.0,.589,10.5,16.5,15.2,11.3,22.7,16.9,14.62,57.1,1.9
Miles Plumlee,PHX,80,24.6,.529,5.6,14.5,14.7,11.3,24.4,17.9,14.60,117.3,3.9
Andrea Bargnani,NY,42,29.9,.510,6.9,8.9,20.5,6.3,14.7,10.4,14.53,73.8,2.5
Shaun Livingston,BKN,76,26.0,.551,26.6,11.4,15.8,4.1,10.8,7.5,14.52,103.8,3.5
Carlos Boozer,CHI,76,28.2,.489,8.8,11.5,24.4,7.4,25.9,16.8,14.48,95.2,3.2
Will Bynum,DET,56,18.8,.502,26.9,12.8,24.7,2.4,8.2,5.1,14.44,54.1,1.8
Jordan Crawford,BOS/GS,81,23.0,.516,22.0,10.5,22.4,1.7,9.4,5.5,14.40,108.2,3.6
Mirza Teletovic,BKN,72,19.4,.559,8.5,8.1,18.5,5.2,17.6,11.4,14.38,60.1,2.0
Bradley Beal,WSH,73,34.7,.507,15.2,8.0,23.0,2.4,10.2,6.3,14.32,144.2,4.8
Klay Thompson,GS,81,35.4,.555,10.9,8.2,20.9,1.5,7.9,4.7,14.32,163.3,5.4
Jeremy Lin,HOU,71,28.9,.572,23.5,14.1,20.0,2.0,7.8,5.1,14.31,101.4,3.4
Louis Williams,ATL,60,24.1,.547,24.0,10.5,20.2,0.8,9.1,5.0,14.24,80.7,2.7
Tyler Hansbrough,TOR,64,15.3,.562,5.0,13.8,13.8,14.2,20.0,17.1,14.20,39.4,1.3
Greivis Vasquez,SAC/TOR,79,22.5,.537,27.9,11.1,19.1,1.3,10.0,5.6,14.20,84.8,2.8
Thomas Robinson,POR,70,12.5,.502,7.9,13.3,18.4,13.1,24.6,18.9,14.15,34.6,1.2
Boris Diaw,SA,79,25.0,.578,23.0,12.6,16.4,4.4,13.8,9.3,14.12,77.2,2.6
